#from https://raw.githubusercontent.com/XENONnT/strax_auxiliary_files/master/strax_files/pmt_positions_xenonnt.csv
i,array,x,y
359,bottom,-20.8129,4.00545
360,bottom,-27.7506,8.0109
361,bottom,-34.6882,12.0163
362,bottom,-41.6259,16.0218
363,bottom,-48.5635,20.0272
364,bottom,-55.5011,24.0327
365,bottom,55.5011,-32.0436
366,bottom,48.5635,-28.0382
367,bottom,41.6259,-24.0327
368,bottom,34.6882,-20.0273
369,bottom,27.7506,-16.0218
370,bottom,20.8129,-12.0163
371,bottom,13.8753,-8.0109
372,bottom,6.93764,-4.00545
373,bottom,-0,0
374,bottom,-6.93764,4.00545
375,bottom,-13.8753,8.0109
376,bottom,-20.8129,12.0164
377,bottom,-27.7506,16.0218
378,bottom,-34.6882,20.0273
379,bottom,-41.6259,24.0327
380,bottom,-48.5635,28.0382
381,bottom,-55.5011,32.0436
382,bottom,55.5011,-24.0327
383,bottom,48.5635,-20.0272
384,bottom,41.6259,-16.0218
385,bottom,34.6882,-12.0163
386,bottom,27.7506,-8.0109
387,bottom,20.8129,-4.00545
388,bottom,13.8753,3.62243e-06
389,bottom,6.93764,4.00545
390,bottom,2.09141e-06,8.0109
391,bottom,-6.93764,12.0164
392,bottom,-13.8753,16.0218
393,bottom,-20.8129,20.0273
394,bottom,-27.7506,24.0327
395,bottom,-34.6882,28.0382
396,bottom,-41.6259,32.0436
397,bottom,-48.5635,36.0491
398,bottom,55.5011,-16.0218
399,bottom,48.5635,-12.0163
400,bottom,41.6259,-8.01089
401,bottom,34.6882,-4.00544
402,bottom,27.7506,7.24486e-06
403,bottom,20.8129,4.00546
404,bottom,13.8753,8.01091
405,bottom,6.93765,12.0164
406,bottom,4.18282e-06,16.0218
407,bottom,-6.93764,20.0273
408,bottom,-13.8753,24.0327
409,bottom,-20.8129,28.0382
410,bottom,-27.7506,32.0436
411,bottom,-34.6882,36.0491
412,bottom,-41.6259,40.0545
413,bottom,62.4388,-12.0163
414,bottom,55.5011,-8.01089
415,bottom,48.5635,-4.00544
416,bottom,41.6259,1.08673e-05
417,bottom,34.6882,4.00546
418,bottom,27.7506,8.01091
419,bottom,20.8129,12.0164
420,bottom,13.8753,16.0218
421,bottom,6.93765,20.0273
422,bottom,6.27423e-06,24.0327
423,bottom,-6.93764,28.0382
424,bottom,-13.8753,32.0436
425,bottom,-20.8129,36.0491
426,bottom,-27.7506,40.0545
427,bottom,-34.6882,44.06
428,bottom,-41.6259,48.0654
429,bottom,62.4388,-4.00544
430,bottom,55.5012,1.44897e-05
431,bottom,48.5635,4.00546
432,bottom,41.6259,8.01091
433,bottom,34.6882,12.0164
434,bottom,27.7506,16.0218
435,bottom,20.8129,20.0273
436,bottom,13.8753,24.0327
437,bottom,6.93765,28.0382
438,bottom,8.36565e-06,32.0436
439,bottom,-6.93763,36.0491
440,bottom,-13.8753,40.0545
441,bottom,-20.8129,44.06
442,bottom,-27.7506,48.0654
443,bottom,-34.6882,52.0709
444,bottom,62.4388,4.00547
445,bottom,55.5012,8.01092
446,bottom,48.5635,12.0164
447,bottom,41.6259,16.0218
448,bottom,34.6882,20.0273
449,bottom,27.7506,24.0327
450,bottom,20.8129,28.0382
451,bottom,13.8753,32.0436
452,bottom,6.93765,36.0491
453,bottom,1.04571e-05,40.0545
454,bottom,-6.93763,44.06
455,bottom,-13.8753,48.0654
456,bottom,-20.8129,52.0709
457,bottom,-27.7506,56.0763
458,bottom,62.4388,12.0164
459,bottom,55.5012,16.0218
460,bottom,48.5635,20.0273
461,bottom,41.6259,24.0327
462,bottom,34.6882,28.0382
463,bottom,27.7506,32.0436
464,bottom,20.8129,36.0491
465,bottom,13.8753,40.0545
466,bottom,6.93766,44.06
467,bottom,1.25485e-05,48.0654
468,bottom,-6.93763,52.0709
469,bottom,-13.8753,56.0763
470,bottom,-20.8129,60.0818
471,bottom,55.5012,24.0327
472,bottom,48.5635,28.0382
473,bottom,41.6259,32.0436
474,bottom,34.6882,36.0491
475,bottom,27.7506,40.0545
476,bottom,20.8129,44.06
477,bottom,13.8753,48.0654
478,bottom,6.93766,52.0709
479,bottom,1.46399e-05,56.0763
480,bottom,-6.93763,60.0818
481,bottom,55.5012,32.0436
482,bottom,48.5635,36.0491
483,bottom,41.6259,40.0545
484,bottom,34.6882,44.06
485,bottom,27.7506,48.0654
486,bottom,20.8129,52.0709
487,bottom,13.8753,56.0763
488,bottom,6.93766,60.0818
489,bottom,1.67313e-05,64.0872
490,bottom,41.6259,48.0654
491,bottom,34.6882,52.0709
492,bottom,27.7506,56.0763
493,bottom,20.8129,60.0818
